"textid","culture_id","author_id","male","female","religious_leader","child_adolescent","adult","older_elderly","patron_socioeconomic","learned_kin","conceptual","motor","hierarchy_within_domain","distributed_expertise","narrow_specialist","broad_generalist","experts_collaborate","experts_compete","rare_knowledge","common_knowledge","secretive_knowledge","uncommon_serious","common_problem","evidence_success","expert_cares_reputation","reputation_efficacy","patronage_based_efficacy","receives_payment","receives_sex","prestige","deference","low_status","selfish","generosity","seek_proximity","domain_general_influence","public_performance","private_performance","costly_initiation","costly_lifestyle","costly_ritual","ornamentation","charismatic","intelligent","sexually_attractive","multiple_mates","provision_mate","parent_invest","reputation_parent","wealth","mate_fidelity","mate_infidelity","learned_purchased","social_learning","medicine","sex_restriction","case","model"
"t0081","SB05","a0070",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"t0082","SB05","a0070",1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"t0083","SB05","a0070",1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"t0084","SB05","a0070",1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"t0085","SB05","a0070",1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"t0086","SB05","a0070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"t0087","SB05","a0070",1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"t0088","SB05","a0070",1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"t0089","SB05","a0070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"t0090","SB05","a0071",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
